-----------  ------------  ---------  ----------  -----------
Receptor ID  Receptor PDB  Ligand ID  Ligand PDB  Interaction
P16370       7rimC         P38902     1twfK       positive
P16370       7rimC         P20436     6ruiH       positive
P16370       7rimC         P08518     7rimB       positive
P16370       7rimC         P40422     1twfL       positive
P16370       7rimC         P22139     6ruiJ       positive
P16370       7rimC         P29055     7ml0M       negative
P38902       1twfK         P16370     7rimC       positive
P38902       1twfK         P04050     1twfA       positive
P38902       1twfK         P20435     6ruiF       negative
P38902       1twfK         P27999     1twfI       negative
P38902       1twfK         P22139     6ruiJ       negative
P38902       1twfK         P20433     7nkxD       negative
P38902       1twfK         P29055     7ml0M       negative
P38902       1twfK         P20434     1twfE       negative
P31800       1sqbA         P00130     1pp9J       positive
P31800       1sqbA         P13271     1be3G       positive
P31800       1sqbA         P00126     1l0lH       negative
Q8DJI1       4pj0Y         Q9F1K9     5tisK       positive
Q8DJI1       4pj0Y         Q8DHJ2     5zznZ       positive
Q8DJI1       4pj0Y         Q8DIQ0     7nhoT       negative
Q8DJI1       4pj0Y         Q8DIN9     7nhoF       negative
Q8DJI1       4pj0Y         Q9F1R6     5zznX       negative
Q8DJI1       4pj0Y         P0A386     5zznV       negative
Q8DJI1       4pj0Y         P0A431     5tisO       negative
Q8DJI1       4pj0Y         Q8DJ43     5tisH       negative
Q8DJI1       4pj0Y         Q8DIN8     5tisL       negative
Q8DJI1       4pj0Y         Q8CM25     5h2fD       negative
Q8DJI1       4pj0Y         Q8DJZ6     5tisI       negative
Q8DJI1       4pj0Y         P0A444     7nhoA       negative
Q8DJI1       4pj0Y         Q8DIQ1     5mx2B       negative
Q8DJI1       4pj0Y         Q8DIP0     4pj0E       negative
P23639       1rypB         P40302     4g4sF       positive
P23639       1rypB         P25451     4r17I       positive
P23639       1rypB         P21243     3nzjG       positive
P23639       1rypB         P23638     4r17B       positive
P23639       1rypB         P21242     4g4sG       positive
P23639       1rypB         P40303     3nzjC       positive
P23639       1rypB         P36040     4g4sP       negative
P23639       1rypB         P30656     3nzjK       negative
P23639       1rypB         P23724     1g0uL       negative
P04050       1twfA         P20436     6ruiH       positive
P04050       1twfA         P27999     1twfI       positive
P04050       1twfA         P38902     1twfK       positive
P04050       1twfA         P40422     1twfL       negative
